mi_from_subject,record_type,status,name,planning_area,review_authority,zoning,aia_zone,record_id
4.62,Project,Applications in Review,1420 E BANNOCK ST,North-East Ends,Administrative,MZC 2023,Outside AIA,PLN26-00333
4.62,Project,Project Entitled,1311 E WARM SPRINGS AVE,North-East Ends,Administrative,MZC 2023,Outside AIA,PLN25-00079
4.63,Project,Applications in Review,1229 S LINCOLN AVE - DRH/SUB,Southeast,City Council,MZC 2023,Outside AIA,PLN24-01024
4.63,Subdivision,In Review,1229 S LINCOLN AVE - Final plat,Southeast,City Council,MZC 2023,Outside AIA,SUB26-00012
4.64,Project,Awaiting Applications,1225 E WARM SPRINGS AVE,North-East Ends,City Council,MZC 2023,Outside AIA,PLN25-00835
4.64,Project,Expired,3410 W TARGEE ST,Central Bench,Administrative,MZC 2023,Outside AIA,PLN25-00818
4.64,Subdivision,Awaiting Applications,1225 E WARM SPRINGS AVE,North-East Ends,City Council,MZC 2023,Outside AIA,SUB25-00098
4.65,Project,Awaiting Applications,2410 W PENDLETON ST  - ADU,Central Bench,Administrative,MZC 2023,Outside AIA,PLN25-01125
4.67,Design Review-Historic,Received,1422 E JEFFERSON,North-East Ends,Administrative,MZC 2023,Outside AIA,DRH24-00079
4.67,Floodplain-Hillside,Returned to Applicant,431 N MORNINGSIDE WAY,North-East Ends,Administrative,MZC 2023,Outside AIA,CFH25-00073
4.67,Project,Applications in Review,1422 E JEFFERSON,North-East Ends,Administrative,MZC 2023,Outside AIA,PLN24-00160
